epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,0.6045905947685242,0.1875,0.6679530322551728,0.16741071492433549,2024-11-12 12:24:43.262594
1,0.5373932747613817,0.2971938777537573,0.6213129341602326,0.19241071492433548,2024-11-12 12:24:43.262594
2,0.4947121909686497,0.3477891158489954,0.5226009756326675,0.26339285746216773,2024-11-12 12:24:43.262594
3,0.46534701756068636,0.36054421890349614,0.4729564905166626,0.28839285746216775,2024-11-12 12:24:43.262594
4,0.43797654906908673,0.3596938777537573,0.44289123117923734,0.29642857164144515,2024-11-12 12:24:43.262594
5,0.4173778252942221,0.3775510206109002,0.427051305770874,0.2977678574621677,2024-11-12 12:24:43.262594
6,0.3967674786136264,0.37074829992793856,0.4092355504631996,0.30803571492433546,2024-11-12 12:24:43.262594
7,0.3804651087238675,0.39455782373746234,0.392502149939537,0.33214285746216776,2024-11-12 12:24:43.262594
8,0.3655792801153092,0.4221938777537573,0.3831681728363037,0.38616071492433546,2024-11-12 12:24:43.262594
9,0.3521998609815325,0.48554421890349614,0.3710015833377838,0.47544642984867097,2024-11-12 12:24:43.262594
10,0.34322342844236464,0.5284863951660338,0.36021423488855364,0.47857142984867096,2024-11-12 12:24:43.262594
11,0.33141107644353596,0.5718537427130199,0.35640943348407744,0.5151785716414452,2024-11-12 12:24:43.262594
12,0.3222637687410627,0.5807823141415914,0.34988450855016706,0.5258928574621677,2024-11-12 12:24:43.262594
13,0.31425085238048006,0.6305272110870906,0.34473771005868914,0.5383928574621677,2024-11-12 12:24:43.262594
14,0.30780721987996784,0.6581632665225438,0.3373023271560669,0.559821429848671,2024-11-12 12:24:43.262594
15,0.30147703488667804,0.6760204093796867,0.3352775439620018,0.5558035716414451,2024-11-12 12:24:43.262594
16,0.2952566331341153,0.6840986396585192,0.32869403809309006,0.5803571432828903,2024-11-12 12:24:43.262594
17,0.2881543366681962,0.6960034015632811,0.32568746209144595,0.5941964298486709,2024-11-12 12:24:43.262594
18,0.2809625594388871,0.7244897967293149,0.32083277851343156,0.6098214298486709,2024-11-12 12:24:43.262594
19,0.2747586986848286,0.7504251712844485,0.31758649200201033,0.6272321432828903,2024-11-12 12:24:43.262594
20,0.2726189508324578,0.718537415776934,0.31335181146860125,0.6178571432828903,2024-11-12 12:24:43.262594
21,0.266740294439452,0.7431972793170384,0.3120660945773125,0.6232142865657806,2024-11-12 12:24:43.262594
22,0.26329600669088815,0.7504251712844485,0.3136151060461998,0.6151785716414452,2024-11-12 12:24:43.262594
23,0.2592982075044087,0.7525510206109002,0.30737035572528837,0.622321429848671,2024-11-12 12:24:43.262594
24,0.2542421917120616,0.7818877555075145,0.30560669898986814,0.6339285716414451,2024-11-12 12:24:43.262594
25,0.252627561489741,0.7444727903320676,0.3010439373552799,0.653125,2024-11-12 12:24:43.262594
26,0.24372215072313944,0.8154761904761905,0.30267510414123533,0.6299107149243355,2024-11-12 12:24:43.262594
27,0.2437698862382344,0.7912414968013763,0.3004476189613342,0.6392857149243355,2024-11-12 12:24:43.262594
28,0.23945475405170805,0.8146258507456098,0.2977813512086868,0.6401785716414452,2024-11-12 12:24:43.262594
29,0.23085173751626695,0.8125,0.29413088634610174,0.644196429848671,2024-11-12 12:24:43.262594
30,0.23299606144428253,0.8256802729197911,0.292344930768013,0.6513392865657807,2024-11-12 12:24:43.262594
31,0.22980796652180807,0.8184523809523809,0.29168294966220853,0.650446429848671,2024-11-12 12:24:43.262594
32,0.22662106724012465,0.8056972793170384,0.28925010487437247,0.6495535716414451,2024-11-12 12:24:43.262594
33,0.22331466064566657,0.8273809523809523,0.28445560559630395,0.6647321432828903,2024-11-12 12:24:43.262594
34,0.21957833994002568,0.8210034015632811,0.281528140604496,0.671875,2024-11-12 12:24:43.262594
35,0.21804923457758768,0.8384353745551336,0.28263352140784265,0.6772321432828903,2024-11-12 12:24:43.262594
36,0.21381053683303652,0.8511904761904762,0.2815187133848667,0.6772321432828903,2024-11-12 12:24:43.262594
37,0.21287369515214646,0.8494897967293149,0.2803021505475044,0.6700892865657806,2024-11-12 12:24:43.262594
38,0.21181374788284302,0.8635204093796867,0.2779251404106617,0.684821429848671,2024-11-12 12:24:43.262594
39,0.20506498288540614,0.8443877555075145,0.2753756307065487,0.675,2024-11-12 12:24:43.262594
40,0.20397717541172392,0.8720238095238095,0.2782080076634884,0.6839285716414452,2024-11-12 12:24:43.262594
41,0.20071677154018766,0.8652210888408479,0.27346175312995913,0.696875,2024-11-12 12:24:43.262594
42,0.19538898978914535,0.8681972793170384,0.2730358183383942,0.681696429848671,2024-11-12 12:24:43.262594
43,0.19394856620402562,0.8711734697932288,0.26843938454985616,0.6959821432828903,2024-11-12 12:24:43.262594
44,0.19807707411902292,0.8554421776816958,0.2733219102025032,0.6776785716414452,2024-11-12 12:24:43.262594
45,0.1909915776479812,0.8741496602694193,0.264937848597765,0.696875,2024-11-12 12:24:43.262594
46,0.18874330392905644,0.8541666666666666,0.2656208865344524,0.6959821432828903,2024-11-12 12:24:43.262594
47,0.1852854121299017,0.8771258507456098,0.2642241895198822,0.7053571432828903,2024-11-12 12:24:43.262594
48,0.18047615176155454,0.8860544221741813,0.2643351450562477,0.6888392865657806,2024-11-12 12:24:43.262594
49,0.17938049208550227,0.8920068031265622,0.26224955171346664,0.6888392865657806,2024-11-12 12:24:43.262594
50,0.17642232917603992,0.8988095238095238,0.2637927643954754,0.691071429848671,2024-11-12 12:24:43.262594
51,0.18075355461665563,0.8971088443483625,0.2609292924404144,0.6950892865657806,2024-11-12 12:24:43.262594
52,0.17417115114984058,0.8890306126503718,0.25999902486801146,0.7035714298486709,2024-11-12 12:24:43.262594
53,0.17287851160480863,0.8979591840789432,0.25978001207113266,0.6808035716414451,2024-11-12 12:24:43.262594
54,0.17112591791720616,0.8971088443483625,0.25802542045712473,0.6839285716414452,2024-11-12 12:24:43.262594
55,0.16544462385631742,0.9166666666666666,0.2612304545938969,0.6821428574621677,2024-11-12 12:24:43.262594
56,0.1677396765777043,0.9107142857142857,0.2552264600992203,0.6919642865657807,2024-11-12 12:24:43.262594
57,0.16355827947457632,0.9226190476190477,0.2546960063278675,0.7044642865657806,2024-11-12 12:24:43.262594
58,0.16675680911257154,0.9051870760463533,0.2566400431096554,0.697321429848671,2024-11-12 12:24:43.262594
59,0.16439473238729296,0.9119897967293149,0.25402330234646797,0.6982142865657807,2024-11-12 12:24:43.262594
60,0.16011615771622884,0.906037415776934,0.25530726835131645,0.697321429848671,2024-11-12 12:24:43.262594
61,0.16123149189211072,0.9158163269360861,0.25457978919148444,0.6955357149243355,2024-11-12 12:24:43.262594
62,0.1529935286158607,0.9404761904761905,0.2534719318151474,0.6879464298486709,2024-11-12 12:24:43.262594
63,0.1501219098766645,0.9315476190476191,0.2505875326693058,0.7013392865657806,2024-11-12 12:24:43.262594
